2025-03-16T16:23:58.928655	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:58.946107	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:58.963588	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:58.981183	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:58.999159	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.029694	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.047639	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.064743	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.082020	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.098908	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.116508	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.134011	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.151095	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.167919	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.184990	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.202605	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.221105	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.239430	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.256808	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.274764	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.292271	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.310078	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.328663	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.347235	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.366758	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.386100	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.404138	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.421855	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.439299	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.458636	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.476820	john@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.494682	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.513981	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.533560	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.551925	diego@uniandes.edu.co	transporte	Unauthorized
2025-03-16T16:23:59.569540	jose@uniandes.edu.co	ventas	Authorized
2025-03-16T16:23:59.588890	nicolas@uniandes.edu.co	compras	Unauthorized
2025-03-16T16:23:59.607096	nicolas@uniandes.edu.co	compras	Unauthorized
